neighborhood,count
Squirrel Hill South,5073
Highland Park,2941
Squirrel Hill North,2083
South Side Flats,1693
Shadyside,1558
Bloomfield,1436
East Liberty,1366
Point Breeze,1316
Perry North,1007
Central Business District,1002
Brighton Heights,910
Mount Washington,874
Allegheny Center,867
Brookline,853
North Oakland,775
Carrick,772
Greenfield,745
Central Lawrenceville,713
Manchester,707
Stanton Heights,700
Central Northside,674
Hazelwood,652
Garfield,626
Beechview,611
Crawford-Roberts,568
Point Breeze North,566
Lincoln-Lemington-Belmar,525
Lower Lawrenceville,508
Marshall-Shadeland,488
Strip District,486
East Hills,483
Morningside,461
Homewood South,459
North Shore,457
Banksville,437
Regent Square,434
Knoxville,432
Homewood North,403
Sheraden,392
East Allegheny,391
Allegheny West,386
Upper Lawrenceville,373
Central Oakland,368
Crafton Heights,368
Perry South,367
Friendship,362
Middle Hill,341
Larimer,306
Chateau,276
Overbrook,275
Polish Hill,271
Lincoln Place,263
Terrace Village,261
Westwood,260
Swisshelm Park,245
South Oakland,234
South Side Slopes,233
Bluff,222
Troy Hill,217
Bedford Dwellings,198
New Homestead,183
Upper Hill,179
Elliott,171
Beltzhoover,170
West End,131
Windgap,117
Spring Hill-City View,114
Arlington,107
Duquesne Heights,101
California-Kirkbride,94
Oakwood,92
Homewood West,92
Bon Air,92
Fineview,90
Allentown,84
Summer Hill,79
West Oakland,78
Spring Garden,55
Chartiers City,37
Ridgemont,31
Fairywood,31
Mt. Oliver,13
St. Clair,12
East Carnegie,8
Northview Heights,6
Arlington Heights,5
Esplen,3
South Shore,2
Glen Hazel,2
Hays,1
